name,address,lng,lat,count
上海犹太难民纪念馆,上海市虹口区长阳路62号,121.515776,31.259707,1
梅园,上海市宝山区泮池北路上海大学(宝山校区),121.397546,31.323284,1
湿地,上海市静安区广中西路288号大宁灵石公园内,121.449666,31.281721,1
黄兴公园,上海市杨浦区营口路639号,121.536425,31.299442,1
建筑模型博物馆,上海市静安区江场三路191号风语筑设计大楼9楼,121.44508,31.299959,1
基督教堂,上海市宝山区真北路3777弄337号,121.408337,31.292494,1
东方渔人码头,上海市杨浦区杨树浦路1088号,121.538842,31.257801,1
古树公园,上海市嘉定区安亭镇光明村泰海路230号,121.25151,31.32131,1
霍山公园,上海市虹口区霍山路118号(近舟山路),121.517695,31.259124,1
南园滨江绿地,上海市黄浦区龙华东路800号,121.48194,31.198223,1
梅园,上海市闵行区纪高路与纪前路交叉路口往东北约170米,121.284073,31.247728,1
世纪春沁园,上海市浦东新区锦绣路1001号世纪公园内,121.56477,31.226339,1
东安公园,上海市徐汇区中山南二路811号,121.460767,31.191483,1
龙华烈士陵园,上海市徐汇区龙华西路180号,121.455712,31.181942,1
桂林公园,上海市徐汇区桂林路128号近地铁12号线桂林公园站,121.424372,31.171505,1
上海动物园,上海市长宁区虹桥路2381号,121.369284,31.199023,1
前滩友城公园,泳耀路与耀体路交叉口西北,121.478472,31.163146,1
闵行体育公园,上海市闵行区新镇路456号,121.377542,31.149117,1
梅园,上海市浦东新区三航路与新梅路交叉路口往东北约130米,121.487647,31.140099,1
梅园,上海市闵行区陈行公路与苏近路交叉路口往南约70米,121.536809,31.117641,1
云堡未来市,上海市松江区洞泾镇王家厍路885号,121.238394,31.095799,1
月季园,上海市松江区华军路一区1号,121.269536,31.052099,1
上海影视乐园,上海市松江区车墩镇车亭公路211号,121.318804,31.016708,1
梅园公园,上海市浦东新区乳山路180号,121.533084,31.242314,1
静安雕塑公园,上海市静安区石门二路128号(近北京西路),121.47046,31.240967,1
上海纺织博物馆,上海市普陀区澳门路128~150号纺博大厦3层,121.452389,31.253111,1
上海凝聚力工程博物馆,上海市长宁区长宁路878号,121.425773,31.226569,1
威尼斯小镇,上海市普陀区金沙江路1685号118广场F1,121.384226,31.236542,1
刘海粟美术馆,上海市长宁区延安西路1609号,121.426009,31.215754,1
风荷桥,上海市浦东新区世纪公园,121.561567,31.222057,1
太平桥公园,自忠路170号,121.483818,31.225334,1
上海孙中山故居纪念馆,上海市黄浦区香山路7号,121.474366,31.222134,1
襄阳公园,上海市徐汇区淮海中路1008号(近襄阳北路),121.463193,31.223319,1
愚园路历史名人墙,上海市长宁区江苏路街道愚园路1065号,121.435468,31.224916,1
钱学森旧居,上海市长宁区愚园路一〇三二弄111号,121.435598,31.226383,1
安流桥,上海市浦东新区花木路世纪公园,121.562902,31.219385,1
琴键春园,上海市黄浦区苗江路200号,121.502829,31.202405,1
