name,address,lng,lat
平倭墓碑,上海市松江区北松公路华明小区东北侧约190米,121.294388,31.010231
吕荡庙,上海市松江区沈海高速财富兴园东北侧约190米,121.310854,31.006633
上海影视乐园演出部,上海市松江区北松公路4671弄200号,121.316331,31.017493
上海影视乐园,上海市松江区车墩镇车亭公路211号,121.318804,31.016708
圣恩堂,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.319761,31.016953
外滩公园,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.319779,31.015792
韩湘水博园,闵行区江川路3805号(近仙鹤路),121.335761,30.990343
车墩天主堂,上海市松江区车峰路186号,121.325636,31.016268
老街,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320901,31.017555
浙江路桥,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320427,31.017421
马勒别墅,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318108,31.018107
千年古樟,上海市闵行区江川路韩湘水博园,121.338614,30.991207
鸟岛,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.321414,31.015412
韩湘水博园,闵行区江川路3805号(近仙鹤路),121.335761,30.990343
韩仓,上海市闵行区江川路韩湘水博园东侧约180米,121.341834,30.990426
千年古樟,上海市闵行区江川路韩湘水博园,121.338614,30.991207
泰顺桥,上海市闵行区江川路3805号临韩湘水博园,121.337179,30.989732
金庆章故居,江川路2060弄101支弄33号临附近,121.355936,30.996408
范公亭,上海市闵行区江川路3805号临韩湘水博园,121.337757,30.991862
浦江魂,上海市闵行区江川路3805号临韩湘水博园,121.337911,30.991343
醒狮桥,上海市闵行区江川路3805号临韩湘水博园,121.338308,30.991325
含碧桥,上海市闵行区江川路3805号临韩湘水博园,121.338125,30.991044
水生态科普体验馆,上海市闵行区江川路3805-20临,121.337563,30.990601
闵行生态公园,上海市闵行区东川路3333号,121.381893,31.00424
水生园,闵行区东川路3366号,121.380018,31.00932
西洋园,上海市闵行区东川路3333,121.38082,31.007064
景德大门,上海市闵行区东川路3285号强生(中国)有限公司液装车间,121.383297,31.007865
金庆章故居,江川路2060弄101支弄33号临附近,121.355936,30.996408
古藤园,上海市闵行区临沧路148号(东川路江川路间),121.393794,31.008877
西洋园,上海市闵行区东川路3333,121.38082,31.007064
闵行生态公园,上海市闵行区东川路3333号,121.381893,31.00424
水生园,闵行区东川路3366号,121.380018,31.00932
景德大门,上海市闵行区东川路3285号强生(中国)有限公司液装车间,121.383297,31.007865
闵行科技馆,上海市闵行区鹤庆路900号上海寰悦广场F1,121.410993,31.013494
古藤园,上海市闵行区临沧路148号(东川路江川路间),121.393794,31.008877
红园,上海市闵行区江川路354号,121.420729,31.009665
银杏公园,上海市闵行区东川路与金平路交叉路口往南约50米,121.417654,31.016918
识默轩美术馆,上海市闵行区鹤庆路560弄89号,121.417355,31.016251
闵行科技馆,上海市闵行区鹤庆路900号上海寰悦广场F1,121.410993,31.013494
红园,上海市闵行区江川路354号,121.420729,31.009665
闵行公园,上海市闵行区沪闵路249号,121.430983,31.014831
银杏公园,上海市闵行区东川路与金平路交叉路口往南约50米,121.417654,31.016918
游乐场,上海市闵行区闵行公园内,121.432207,31.015017
西渡江边公园,上海市奉贤区西闵线鸿宝一村-北区北侧约30米,121.435627,31.001788
龙音寺,上海市闵行区江川路街道闵东路1号,121.437278,31.00917
李家阁,上海市奉贤区鸿宝路,121.426876,30.991816
水帘洞广场公园,上海市奉贤区沪杭公路水帘洞新村,121.437309,31.000218
清净庵旧址,上海市闵行区新闵路新闵小区,121.431847,31.009871
西渡公园,上海市奉贤区南桥西渡江川路354号(扶兰路与扶兰支路交汇处东南侧),121.446484,30.995574
龙音寺,上海市闵行区江川路街道闵东路1号,121.437278,31.00917
游乐场,上海市闵行区闵行公园内,121.432207,31.015017
水帘洞广场公园,上海市奉贤区沪杭公路水帘洞新村,121.437309,31.000218
临江园,上海市西渡街道灯塔村9组,121.436779,30.988122
清净庵旧址,上海市闵行区新闵路新闵小区,121.431847,31.009871
杭州生命,上海市奉贤区沪杭公路巨龙台湾城东北侧约30米,121.440604,30.990921
竹亭,上海市闵行区沪闵路249号闵行公园,121.432793,31.014933
淳之文化,上海市奉贤区关五路188号(关五路与五宅路交叉口),121.489002,31.001566
旃檀禅院,上海市奉贤区金汇村1158号,121.500322,30.992883
紫庵,上海市奉贤区西渡街道,121.483653,30.988521
达令港公园,上海市奉贤区汇中路与金闸公路交叉口东南500米,121.515781,30.990981
旃檀禅院,上海市奉贤区金汇村1158号,121.500322,30.992883
淳之文化,上海市奉贤区关五路188号(关五路与五宅路交叉口),121.489002,31.001566
庵港宅,上海市奉贤区西渡街道,121.501568,30.986879
达令港公园,上海市奉贤区汇中路与金闸公路交叉口东南500米,121.515781,30.990981
申亚森林足球营地,上海市奉贤区金汇镇明星村1103号,121.540619,30.991743
申亚森林足球营地,上海市奉贤区金汇镇明星村1103号,121.540619,30.991743
申亚生态林,上海市奉贤区明星路与沿浦公路交叉口东北100米,121.548072,30.993822
泰日小匝港公园,上海市奉贤区泰日新建路,121.566895,30.988212
方塔园,上海市松江区中山东路235号,121.25301,31.010149
北内路绿地,上海市松江区袜子弄73号,121.248266,31.018668
醉白池公园,上海市松江区人民南路64号,121.237516,31.00776
松江博物馆,上海市松江区中山东路233号,121.252945,31.012213
松江科技馆,上海市松江区中山东路237号,121.251505,31.012521
东岳庙,中山中路196弄9号,121.239928,31.013918
耿氏宅,上海市松江区景德路机关幼儿园(松乐路店)西南侧约30米,121.24469,31.014983
西林禅寺,中山中路666号,121.23067,31.013354
天主教上海教区邱家湾耶稣圣心堂,上海市松江区方塔北路281号,121.254716,31.015297
菜花泾绿地,上海市松江区谷阳北路42号,121.243723,31.016349
方塔园,上海市松江区中山东路235号,121.25301,31.010149
松江科技馆,上海市松江区中山东路237号,121.251505,31.012521
松江博物馆,上海市松江区中山东路233号,121.252945,31.012213
地藏古寺,上海市松江区东门村774号,121.275683,31.013802
吕荡庙,S124(松卫北路),121.271847,31.013477
北内路绿地,上海市松江区袜子弄73号,121.248266,31.018668
方塔园-天妃宫,上海市松江区中山东路235号(近方塔南路)方塔园内,121.253029,31.010798
望仙桥,上海市松江区中山东路235号(近方塔南路)方塔园内,121.25343,31.009362
天主教上海教区邱家湾耶稣圣心堂,上海市松江区方塔北路281号,121.254716,31.015297
浦江源石,上海市松江区中山东路235号(近方塔南路)方塔园内,121.252381,31.011545
地藏古寺,上海市松江区东门村774号,121.275683,31.013802
吕荡庙,S124(松卫北路),121.271847,31.013477
安养禅院,上海市松江区华铁路800号,121.275516,31.013869
平倭墓碑,上海市松江区北松公路华明小区东北侧约190米,121.294388,31.010231
东禅古寺,上海市松江区东门村659号,121.273019,31.014525
上海影视乐园,上海市松江区车墩镇车亭公路211号,121.318804,31.016708
老街,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320901,31.017555
外滩公园,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.319779,31.015792
浙江路桥,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320427,31.017421
